pair,correlation,eg_statistic,eg_pvalue,cointegrated,hedge_ratio,adf_statistic,adf_pvalue,spread_stationary,half_life,hurst,mean_reverting,spread_mean,spread_std,score
ATO/NI,0.9516861771967284,-2.5900298063960223,0.24086793728246048,False,4.63596958124793,-2.589150849491881,0.095260362228071,False,456.7761947319336,0.337434869744349,True,-15.467490174964295,5.6826738218661506,20.0
AEE/NI,0.8845805890966429,-1.850799078546414,0.6047354616814327,False,3.8882572018902044,-1.850593115180297,0.3556483474301817,False,inf,0.4540139304373286,True,-21.92345602823101,7.788065255699703,20.0
DVN/EOG,0.837975806623065,-2.4742713467891067,0.29053249871149833,False,0.557750215402817,-2.4738450963557526,0.12196846963654717,False,inf,0.4120992903230163,True,-10.924706220492427,7.157227364683458,20.0
DVN/CTRA,0.8325600580620661,-2.8615413237826535,0.14688675368926196,False,2.9396428623192516,-2.8605162011359373,0.05013585240558334,False,inf,0.47707944577946315,True,-24.00512782962371,7.265133936394747,20.0
ATO/AEE,0.951495419766606,-2.2387506630311305,0.404479870253973,False,1.0544741517689444,-2.241189487699377,0.1916369856943571,False,inf,0.43135956302581296,True,18.262376122201776,5.69360295238186,20.0
TPL/AEP,0.8075777826970781,-1.3606507539423849,0.8106825748686335,False,3.229970536097422,-1.345710094325804,0.6080092869260431,False,inf,0.4904461598929652,True,-123.46111552993574,34.9251862552436,20.0
NI/ETR,0.8543016289076854,-3.0327837049128052,0.10261695328578968,False,0.3420442651434144,-3.033003164819351,0.03192516611087045,True,inf,0.4698427080255764,True,7.549333358781275,1.9746164762631586,20.0
AEP/TPL,0.8075777826970781,-2.1578504106795124,0.446193513753078,False,0.2019157350871436,-2.1555393786489017,0.22277577776976593,False,inf,0.44956325243034634,True,46.07205386726986,8.732217263619452,20.0
ES/AES,0.8678461631218822,-2.072780134554594,0.4906003969818393,False,2.4096473715334312,-2.07032327314995,0.25661394078804145,False,inf,0.4550308308446309,True,24.03116896951323,7.403365342343224,20.0
SRE/ES,0.9044365400057713,-2.53006539000017,0.2659726959381067,False,0.6593603224929436,-2.524938769320897,0.10952375675716014,False,inf,0.42294089286648046,True,12.99137272216175,4.634390616340214,20.0
EIX/AES,0.35281922743399396,-3.2602810198534504,0.0604119119235519,False,0.37730501715474546,-3.259468076225828,0.016790366232271012,True,inf,0.41347775128211667,True,42.95814124263583,5.3700832490409125,20.0
EIX/ES,0.4379541422800524,-3.142094132904438,0.08015711212100157,False,0.16867791696084944,-3.1410602856567,0.023660033625784307,True,inf,0.41786680612528015,True,38.52653376603945,5.159489411295349,20.0
EIX/OXY,0.09401878773636177,-3.167831885506424,0.07547413551888764,False,0.033121325939398344,-3.166672883757071,0.021996661434591988,True,inf,0.3996399612261357,True,46.32593076308469,5.713737939930453,20.0
EIX/KMI,-0.12778613810766254,-3.2571941227771024,0.06087237724758609,False,-0.2108842760112533,-3.255692848855078,0.016978964857594953,True,inf,0.40247491420066983,True,50.705603829824305,5.692108897189687,20.0
EIX/PCG,-0.07079590320741709,-3.2232661667425697,0.06612234868555189,False,-0.01919073929334644,-3.2220150975222674,0.01874520506278099,True,inf,0.40286807981754974,True,48.46962189042505,5.7247594162126445,20.0
EIX/SRE,0.5873248231131692,-3.254188790002675,0.061323396063496106,False,0.3102867550951853,-3.253403282786459,0.0170942469386432,True,inf,0.4149301016138031,True,32.51002497123385,4.644996688562964,20.0
AES/ES,0.8678461631218822,-2.0041430337874173,0.5264237890130185,False,0.3125589958692113,-2.0023237820879625,0.28555513214892714,False,365.626172587693,0.4893119248354659,True,-4.309487293680255,2.666357859014622,20.0
AES/AWK,0.9123693580585348,-2.115310483660532,0.46836680537180786,False,0.12972225822209055,-2.107113289901051,0.2416639488209964,False,128.6184383475782,0.5160631224852036,False,0.6099123085593685,2.196958639725153,20.0
EIX/AWK,0.3982454637001904,-3.2495375339942614,0.0620267383793238,False,0.060552904903533156,-3.248476689164877,0.01734463459888353,True,inf,0.41338935491283957,True,42.08219383091815,5.2644102693827675,20.0
EIX/HAL,0.09129677074653585,-3.1689661974126304,0.07527282182295998,False,0.05335158657169816,-3.167776493004295,0.021927324932827234,True,inf,0.40163498184031843,True,46.315480919801516,5.715191703623987,20.0
ES/AWK,0.9703131866486517,-2.782812283519256,0.17121475271276754,False,0.3830597205566141,-2.782317257365884,0.06084435287457299,False,inf,0.35905168742622745,True,18.785662995414675,3.6038620938706982,20.0
ES/SRE,0.9044365400057713,-2.429870234826439,0.3108413636662501,False,1.2406046087287392,-2.4284063239508984,0.13387889958030486,False,188.08158996775043,0.4120701613171679,True,-6.055509608173712,6.3569372785891645,20.0
SRE/AWK,0.8630753593243085,-2.6822920976216498,0.2060120158708889,False,0.24839793518149136,-2.6802079676184642,0.07752621937223678,False,inf,0.4676616713456523,True,25.775845340744407,5.486804251915046,20.0
SRE/AES,0.86028930356318,-2.612574203129969,0.23179435005388294,False,1.741405763663318,-2.611962704245487,0.0905499396435121,False,inf,0.47768441214436,True,26.8575387500037,5.538198578442467,20.0
AES/SRE,0.8602893035631799,-2.211064185794424,0.41866548544123827,False,0.4250001356767726,-2.2100102042357253,0.2026324116574837,False,inf,0.5116113042011046,False,-8.043401874275169,2.7359809514010727,20.0
AWK/AES,0.9123693580585348,-2.314040802244709,0.3665678677268177,False,6.416923794982097,-2.312414683074011,0.16799524585930253,False,162.58725165889481,0.5075791929738086,False,12.05427185152988,15.451764186647903,20.0
EIX/BKR,0.10185924525305824,-3.1486493177717736,0.0789433164866426,False,0.09532966310686689,-3.147480043078986,0.02323322209686394,True,inf,0.3973387608346848,True,45.54069304681572,5.70930959114323,20.0
AWK/SRE,0.8630753593243086,-2.39666584314325,0.3264357448378512,False,2.998813477771167,-2.3961387310379267,0.1428291904716838,False,inf,0.4870929622147989,True,-52.9897109839298,19.06427099647072,20.0
HAL/OXY,0.8209955916035206,-2.0586473177347377,0.49798978938370947,False,0.4949279380241666,-2.058133567553944,0.2616789365580977,False,391.10389087455144,0.5201219511911667,False,5.995878157276203,5.607157040085009,20.0
OXY/HAL,0.8209955916035206,-1.865144766130597,0.597574418016042,False,1.3618826290616506,-1.8647843167227076,0.3488046223985309,False,252.61684227041349,0.5179807873401052,False,6.85291314128373,9.301255511491567,20.0
AWK/ES,0.9703131866486518,-2.7642760786698557,0.1773162454268583,False,2.4578613455264424,-2.763991444058687,0.06360426708133987,False,inf,0.3708764809101763,True,-40.59912572736897,9.128798265358592,20.0
HAL/BKR,0.8744673709810132,-2.6427346908544855,0.220846876969353,False,1.4004876745787933,-2.642032881304746,0.08461731551637297,False,195.20599635346903,0.4361086479465532,True,-5.155664469890935,4.764020961955482,20.0
OKE/MPC,0.7867774483095528,-2.429576101890471,0.3109780226048155,False,0.5004463116305813,-2.428572702801333,0.13383381630559044,False,inf,0.4811897696332296,True,11.008282366507785,7.37902131156744,15.0
TPL/ATO,0.7723345199376692,-0.4348429251737711,0.9686598658632625,False,2.4714739534129926,-0.4160702066169468,0.9073808540281594,False,inf,0.5104567882968116,False,-115.7780501000449,37.616992198408525,15.0
CNP/AEP,0.7511296165094755,-1.7984861718489478,0.6304571510895025,False,0.22648870787077358,-1.7977012555387866,0.38160355220292913,False,inf,0.45551079210919365,True,6.781190148047955,2.9473102263262763,15.0
CNP/TPL,0.7156022162459631,-2.427217072151239,0.31207504510048056,False,0.05394971398860965,-2.426347899845967,0.1344375671517491,False,inf,0.4721671569668775,True,16.61702627330544,3.1185412933124352,15.0
SRE/MPC,0.7040036505631004,-2.236396950717125,0.4056814400288432,False,0.40690871000838025,-2.235798322340525,0.19351014910401632,False,inf,0.378513256092012,True,29.922890116139058,7.7151058418611225,15.0
